Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	1.163592e-02
3.000686e-07	1.163240e-02
3.003682e-07	1.162887e-02
3.006681e-07	1.162535e-02
3.009683e-07	1.162183e-02
3.012689e-07	1.161831e-02
3.015697e-07	1.161479e-02
3.018708e-07	1.161127e-02
3.021723e-07	1.160775e-02
3.024740e-07	1.160423e-02
3.027760e-07	1.160071e-02
3.030783e-07	1.159719e-02
3.033810e-07	1.159367e-02
3.036839e-07	1.159016e-02
3.039872e-07	1.158664e-02
3.042907e-07	1.158312e-02
3.045945e-07	1.157961e-02
3.048987e-07	1.157609e-02
3.052031e-07	1.157258e-02
3.055079e-07	1.156906e-02
3.058130e-07	1.156555e-02
3.061183e-07	1.156204e-02
3.064240e-07	1.155853e-02
3.067300e-07	1.155501e-02
3.070363e-07	1.155150e-02
3.073428e-07	1.154799e-02
3.076497e-07	1.154448e-02
3.079569e-07	1.154097e-02
3.082644e-07	1.153746e-02
3.085723e-07	1.153395e-02
3.088804e-07	1.153045e-02
3.091888e-07	1.152694e-02
3.094975e-07	1.152343e-02
3.098066e-07	1.151992e-02
3.101159e-07	1.151642e-02
3.104256e-07	1.151291e-02
3.107356e-07	1.150941e-02
3.110459e-07	1.150590e-02
3.113564e-07	1.150240e-02
3.116674e-07	1.149890e-02
3.119786e-07	1.149539e-02
3.122901e-07	1.149189e-02
3.126019e-07	1.148839e-02
3.129141e-07	1.148489e-02
3.132265e-07	1.148139e-02
3.135393e-07	1.147789e-02
3.138524e-07	1.147439e-02
3.141658e-07	1.147089e-02
3.144795e-07	1.146739e-02
3.147935e-07	1.146389e-02
3.151078e-07	1.146039e-02
3.154225e-07	1.145690e-02
3.157374e-07	1.145340e-02
3.160527e-07	1.144990e-02
3.163683e-07	1.144641e-02
3.166842e-07	1.144291e-02
3.170004e-07	1.143942e-02
3.173170e-07	1.143592e-02
3.176338e-07	1.143243e-02
3.179510e-07	1.142894e-02
3.182685e-07	1.142544e-02
3.185863e-07	1.142195e-02
3.189044e-07	1.141846e-02
3.192228e-07	1.141497e-02
3.195416e-07	1.141148e-02
3.198607e-07	1.140799e-02
3.201800e-07	1.140450e-02
3.204998e-07	1.140101e-02
3.208198e-07	1.139753e-02
3.211401e-07	1.139404e-02
3.214608e-07	1.139055e-02
3.217818e-07	1.138706e-02
3.221031e-07	1.138358e-02
3.224247e-07	1.138009e-02
